Geo Point;Geo Shape;ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE
48.8382461078, 2.27723394142;"{""type"": ""Point"", ""coordinates"": [2.277233941424459, 48.83824610783838]}";858.0;DEVE;;Jardin noir;214 rue St Charles;75.0;75015;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;214 rue SAINT Charles;115.0;7.0;8513;214;;RUE;SAINT CHARLES;8513-214;;15.0;60.0;1
48.8754626424, 2.27944333525;"{""type"": ""Point"", ""coordinates"": [2.279443335253601, 48.875462642354854]}";1037.0;DVD;16/107;;39 boulevard de l’Amiral Bruix;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;39 bd de l’Amiral Bruix;116.0;14.0;0279;39;;BD;AMIRAL BRUIX;0279-39;;16.0;63.0;1
48.8390383581, 2.28024136341;"{""type"": ""Point"", ""coordinates"": [2.280241363411735, 48.8390383580841]}";871.0;DPA;;Fontaine des Polypores;14 rue Jongkind;75.0;75015;Fontaine ornementale;1.0;;;;;;;;14 rue Jongkind;115.0;12.0;5001;14;;RUE;JONGKIND;5001-14;;15.0;60.0;0
48.8388455925, 2.28048019451;"{""type"": ""Point"", ""coordinates"": [2.280480194508692, 48.83884559251201]}";852.0;DEVE;;Square Jean-Cocteau;112 avenue Félix Faure;75.0;75015;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;112 avenue Felix Faure;115.0;7.0;3553;112;;AV;FELIX FAURE;3553-112;;15.0;60.0;1
48.8439169685, 2.28300126268;"{""type"": ""Point"", ""coordinates"": [2.283001262678823, 48.843916968518684]}";905.0;DDEEES;;Marché Saint-Charles;130 rue Saint Charles;75.0;75015;Borne marché;1.0;Non;Non;;;;;;130 rue Saint Charles;115.0;13.0;8513;130;;RUE;SAINT CHARLES;8513-130;;15.0;60.0;0
48.8436621912, 2.2831149002;"{""type"": ""Point"", ""coordinates"": [2.283114900197652, 48.84366219116738]}";906.0;DDEEES;;Marché Saint-Charles;135 rue Saint Charles;75.0;75015;Borne marché;1.0;Non;Non;;;;;;135 rue Saint Charles;115.0;13.0;8513;135;;RUE;SAINT CHARLES;8513-135;;15.0;60.0;0
48.8678778143, 2.28416671408;"{""type"": ""Point"", ""coordinates"": [2.28416671407974, 48.867877814342485]}";1021.0;DDEEES;;Marché Saint-Didier;23 rue Mesnil;75.0;75016;Borne marché;1.0;Non;Non;;;;;;23 rue Mesnil;116.0;13.0;6288;23;;RUE;MESNIL;6288-23;;16.0;63.0;0
48.8466804521, 2.28484045462;"{""type"": ""Point"", ""coordinates"": [2.284840454624879, 48.84668045213594]}";955.0;DVD;15/128;;65 Avenue Emile Zola;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;65 Avenue Emile Zola;115.0;14.0;3266;65;;AV;EMILE ZOLA;3266-65;;15.0;60.0;1
48.8587396289, 2.28513387048;"{""type"": ""Point"", ""coordinates"": [2.285133870482558, 48.85873962890455]}";993.0;EDP;67;;10 boulevard Delessert;75.0;75016;Wallace;1.0;Non;;Oui;Non;;;;10 boulevard Delessert;116.0;11.0;2674;10;;BD;DELESSERT;2674-10;;16.0;62.0;1
48.8488909693, 2.28610763154;"{""type"": ""Point"", ""coordinates"": [2.28610763154331, 48.84889096932891]}";843.0;DEVE;;Square Pablo-Casals;41 rue Emeriau;75.0;75015;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;41 rue Emeriau;115.0;4.0;3201;41;;RUE;EMERIAU;3201-41;;15.0;59.0;1
48.8488997119, 2.28759395402;"{""type"": ""Point"", ""coordinates"": [2.28759395401827, 48.8488997118691]}";846.0;EDP;17;;59 rue Saint Charles;75.0;75015;Borne-fontaine;1.0;Non;;Oui;Non;;;;59 rue Saint Charles;115.0;4.0;8513;59;;RUE;SAINT CHARLES;8513-59;;15.0;59.0;1
48.8794834773, 2.29116187226;"{""type"": ""Point"", ""coordinates"": [2.291161872256348, 48.879483477257374]}";1075.0;EDP;75;;Place Tristan Bernard;75.0;75017;Wallace;1.0;Non;;Oui;Non;;;;pl Tristan Bernard;117.0;11.0;9449;1;;PL;TRISTAN BERNARD;9449-1;numnr;17.0;65.0;1
48.8874568213, 2.29371242046;"{""type"": ""Point"", ""coordinates"": [2.293712420464584, 48.88745682126147]}";1056.0;DEVE;;Square Sainte-Odile;9 boulevard de la Somme;75.0;75017;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;9 boulevard de la Somme;117.0;4.0;9019;9;;BD;SOMME;9019-9;;17.0;65.0;1
48.8360451871, 2.29357395133;"{""type"": ""Point"", ""coordinates"": [2.293573951326544, 48.83604518707613]}";965.0;DVD;15/113;;Place Henri Rollet;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;pl Henri Rollet;115.0;14.0;4595;1;;PL;HENRI ROLLET;4595-1;numnr;15.0;57.0;1
48.8523339336, 2.2943349726;"{""type"": ""Point"", ""coordinates"": [2.294334972600232, 48.85233393362989]}";835.0;DEVE;;Jardin Nicole-de-Hauteclocque;23 rue Desaix;75.0;75015;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;23 rue Desaix;115.0;4.0;2713;23;;RUE;DESAIX;2713-23;;15.0;59.0;1
48.8426461442, 2.29212046962;"{""type"": ""Point"", ""coordinates"": [2.292120469621728, 48.842646144165975]}";964.0;DVD;15/121;;Place Etienne Pernet;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;pl Etienne Pernet;115.0;14.0;3396;1;;PL;ETIENNE PERNET;3396-1;numnr;15.0;60.0;1
48.8306297647, 2.29390290903;"{""type"": ""Point"", ""coordinates"": [2.293902909034409, 48.83062976466002]}";927.0;DDEEES;;Marché Lefèvbre;75-77 boulevard Lefevbre;75.0;75015;Borne marché;1.0;Non;Non;;;;;;75 bd Lefevbre;115.0;13.0;5469;75;;BD;LEFEBVRE;5469-75;;15.0;57.0;0
48.8534832248, 2.30283482181;"{""type"": ""Point"", ""coordinates"": [2.302834821814043, 48.85348322475222]}";248.0;DEVE;34;Fontaine Joseph Bouvard;1 avenue Anatole France;75.0;75007;Fontaine ornementale;1.0;;;;;;;;1 avenue Anatole France;107.0;12.0;0306;1;;AV;ANATOLE FRANCE;0306-1;;7.0;28.0;0
48.8302277362, 2.29515175243;"{""type"": ""Point"", ""coordinates"": [2.295151752425248, 48.830227736165135]}";930.0;DDEEES;;Marché Lefèvbre;87 boulevard Lefevbre;75.0;75015;Borne marché;1.0;Non;Non;;;;;;87 bd Lefevbre;115.0;13.0;5469;87;;BD;LEFEBVRE;5469-87;;15.0;57.0;0
48.8495998033, 2.29551730984;"{""type"": ""Point"", ""coordinates"": [2.295517309843977, 48.8495998033443]}";1086.0;DDEEES;;Marché Grenelle;100 boulevard de Grenelle;75.0;75015;Borne marché;1.0;Non;Non;;;;;;100 boulevard de Grenelle;115.0;13.0;4310;100;;BD;GRENELLE;4310-100;;15.0;59.0;0
48.8428524937, 2.29786069848;"{""type"": ""Point"", ""coordinates"": [2.2978606984793, 48.842852493676745]}";942.0;DVD;15/122;;2 Rue Léon Lhermitte;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;2 Rue Leon Lhermitte;115.0;14.0;5568;2;;RUE;LEON LHERMITTE;5568-2;;15.0;57.0;1
48.8493136387, 2.29701651061;"{""type"": ""Point"", ""coordinates"": [2.297016510613775, 48.84931363869687]}";902.0;DDEEES;;Marché Grenelle;118 boulevard de Grenelle;75.0;75015;Borne marché;1.0;Non;Non;;;;;;118 boulevard de Grenelle;115.0;13.0;4310;118;;BD;GRENELLE;4310-118;;15.0;59.0;0
48.864032187, 2.29716845482;"{""type"": ""Point"", ""coordinates"": [2.297168454819974, 48.8640321869618]}";1002.0;DPA;68;Fontaine Palais de Tokyo;11 avenue du Président Wilson;75.0;75016;Fontaine ornementale;1.0;Non;Non;Oui;Non;;Oui;accessible;11 avenue du President Wilson;116.0;12.0;7804;11;;AV;PRESIDENT WILSON;7804-11;;16.0;64.0;0
48.8369757683, 2.2976595072;"{""type"": ""Point"", ""coordinates"": [2.297659507201804, 48.8369757683142]}";911.0;DDEEES;;Marché Convention;197 rue de la Convention;75.0;75015;Borne marché;1.0;Non;Non;;;;;;197 rue de la Convention;115.0;13.0;2300;197;;RUE;CONVENTION;2300-197;;15.0;57.0;0
48.8651743126, 2.29813172638;"{""type"": ""Point"", ""coordinates"": [2.298131726379497, 48.86517431256173]}";1013.0;DDEEES;;Marché Président Wilson;14 avenue du Président Wilson;75.0;75016;Borne marché;1.0;Non;Non;;;;;;14 avenue du President Wilson;116.0;13.0;7804;14;;AV;PRESIDENT WILSON;7804-14;;16.0;64.0;0
48.8295261401, 2.29901603493;"{""type"": ""Point"", ""coordinates"": [2.299016034934146, 48.829526140125076]}";834.0;DEVE;;Square du Docteur Calmette;2 rue Jean Sicard;75.0;75015;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;2 rue Jean Sicard;115.0;4.0;4951;2;;RUE;JEAN SICARD;4951-2;;15.0;57.0;1
48.8412109299, 2.29970628928;"{""type"": ""Point"", ""coordinates"": [2.299706289281889, 48.841210929927385]}";865.0;EDP;64;;28 rue Péclet;75.0;75015;Wallace;1.0;Non;;Oui;Non;;;;28 rue Peclet;115.0;11.0;7210;28;;RUE;PECLET;7210-28;;15.0;57.0;1
48.8329427232, 2.3004495301;"{""type"": ""Point"", ""coordinates"": [2.300449530095496, 48.83294272320506]}";932.0;DDEEES;;Marché Georges Brassens;Place Jacques Marette;75.0;75015;Borne marché;1.0;Non;Non;;;;;;pl Jacques Marette;115.0;13.0;4797;1;;PL;JACQUES MARETTE;4797-1;numnr;15.0;57.0;0
48.8357800686, 2.30108843725;"{""type"": ""Point"", ""coordinates"": [2.301088437247583, 48.83578006859966]}";917.0;DDEEES;;Marché Convention;242 rue de la Convention;75.0;75015;Borne marché;1.0;Non;Non;;;;;;242 rue de la Convention;115.0;13.0;2300;242;;RUE;CONVENTION;2300-242;;15.0;57.0;0
48.8915508039, 2.3013704872;"{""type"": ""Point"", ""coordinates"": [2.301370487203077, 48.89155080390148]}";1084.0;DDEEES;;Marché Berthier;1 boulevard de Reims;75.0;75017;Borne marché;1.0;Non;Non;;;;;;1 boulevard de Reims;117.0;13.0;8108;1;;BD;REIMS;8108-1;;17.0;66.0;0
48.8321014318, 2.30038599296;"{""type"": ""Point"", ""coordinates"": [2.300385992961948, 48.83210143176415]}";893.0;DEVE;122;Grand Bassin;40 rue des Morillons;75.0;75015;Fontaine ornementale;1.0;;;;;;;;40 rue des Morillons;115.0;12.0;6555;40;;RUE;MORILLONS;6555-40;;15.0;57.0;0
48.8331734128, 2.29946837516;"{""type"": ""Point"", ""coordinates"": [2.299468375164401, 48.83317341281195]}";949.0;DVD;15/144;;40 Rue des Morillons;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;40 Rue des Morillons;115.0;14.0;6555;40;;RUE;MORILLONS;6555-40;;15.0;57.0;1
48.8840068002, 2.30464380079;"{""type"": ""Point"", ""coordinates"": [2.30464380078593, 48.884006800223894]}";1108.0;DVD;17/117;;72 Avenue de Villiers;75.0;75017;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;72 Avenue de Villiers;117.0;14.0;9841;72;;AV;VILLIERS;9841-72;;17.0;66.0;1
