Geo Point;Geo Shape;ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE
48.8460957824, 2.25817613576;"{""type"": ""Point"", ""coordinates"": [2.258176135760762, 48.84609578242105]}";1014.0;DDEEES;;Marché Porte Molitor;17 boulevard Murat;75.0;75016;Borne marché;1.0;Non;Non;;;;;;17 boulevard Murat;116.0;13.0;6639;17;;BD;MURAT;6639-17;;16.0;61.0;0
48.8384176385, 2.25956159674;"{""type"": ""Point"", ""coordinates"": [2.259561596742858, 48.838417638453684]}";1018.0;DDEEES;;Marché Point du Jour;209 avenue de Versailles;75.0;75016;Borne marché;1.0;Non;Non;;;;;;209 avenue de Versailles;116.0;13.0;9706;209;;AV;VERSAILLES;9706-209;;16.0;61.0;0
48.8410527719, 2.25984669932;"{""type"": ""Point"", ""coordinates"": [2.259846699317195, 48.84105277187647]}";978.0;DEVE;22-23;Auteuil;57 rue Claude-Lorrain;75.0;75016;Borne-fontaine;2.0;Non;Non;Non;Non;Non;Oui;;57 rue Claude Lorrain;116.0;4.0;2078;57;;RUE;CLAUDE LORRAIN;2078-57;;16.0;61.0;1
48.8481287547, 2.26056047897;"{""type"": ""Point"", ""coordinates"": [2.260560478969033, 48.84812875470082]}";1028.0;DVD;16/104;;101 Boulevard de Montmorency;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;101 Boulevard de Montmorency;116.0;14.0;6516;101;;BD;MONTMORENCY;6516-101;;16.0;61.0;1
48.8477684046, 2.27352022154;"{""type"": ""Point"", ""coordinates"": [2.273520221535526, 48.847768404556724]}";1038.0;DVD;16/114;;4 Place Barcelone;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;4 Place Barcelone;116.0;14.0;0669;4;;PL;BARCELONE;0669-4;;16.0;61.0;1
48.8516110445, 2.27411274306;"{""type"": ""Point"", ""coordinates"": [2.274112743063468, 48.851611044471085]}";1023.0;DDEEES;;Marché Gros La Fontaine;43 rue Gros;75.0;75016;Borne marché;1.0;Non;Non;;;;;;43 rue Gros;116.0;13.0;4345;43;;RUE;GROS;4345-43;;16.0;61.0;0
48.8517530922, 2.27488797832;"{""type"": ""Point"", ""coordinates"": [2.274887978317394, 48.851753092244934]}";975.0;DEVE;;Square Henri-Collet;22 rue Gros;75.0;75016;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;22 rue Gros;116.0;4.0;4345;22;;RUE;GROS;4345-22;;16.0;61.0;1
48.8415117128, 2.2739788638;"{""type"": ""Point"", ""coordinates"": [2.273978863802502, 48.84151171282669]}";873.0;DEVE;107;Bassin MS 2;2 rue de la Montagne de la Fage;75.0;75015;Fontaine ornementale;1.0;;;;;;;;2 rue de la Montagne de la Fage;115.0;12.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;0
48.8415117128, 2.2739788638;"{""type"": ""Point"", ""coordinates"": [2.273978863802502, 48.84151171282669]}";883.0;DEVE;124;Jardin Blanc;2 rue de la Montagne de la Fage;75.0;75015;Fontaine ornementale;1.0;;;;;;;non accessible;2 rue de la Montagne de la Fage;115.0;12.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;0
48.8381477498, 2.2782199946;"{""type"": ""Point"", ""coordinates"": [2.278219994596255, 48.83814774981801]}";944.0;DVD;15/111;;218 rue Saint Charles;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;218 rue Saint Charles;115.0;14.0;8513;218;;RUE;SAINT CHARLES;8513-218;;15.0;60.0;1
48.8510535602, 2.27846116356;"{""type"": ""Point"", ""coordinates"": [2.278461163555061, 48.85105356021121]}";1031.0;DVD;16/109;;2 Avenue de Versailles;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;2 Avenue de Versailles;116.0;14.0;9706;2;;AV;VERSAILLES;9706-2;;16.0;61.0;1
48.8413207811, 2.27976703625;"{""type"": ""Point"", ""coordinates"": [2.279767036253447, 48.84132078106606]}";829.0;DEVE;18-19;Grenelle;174 rue Saint-Charles;75.0;75015;Borne-fontaine;2.0;Non;Non;Non;Non;Non;Oui;;174 rue Saint Charles;115.0;4.0;8513;174;;RUE;SAINT CHARLES;8513-174;;15.0;60.0;1
48.8834939963, 2.28268147867;"{""type"": ""Point"", ""coordinates"": [2.282681478672137, 48.88349399632571]}";1063.0;DEVE;;Square Lucien Fontanarosa;29 rue Cino del Duca;75.0;75017;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;29 rue Cino del Duca;117.0;7.0;2040;29;;RUE;CINO DEL DUCA;2040-29;;17.0;65.0;1
48.8390970645, 2.28254716477;"{""type"": ""Point"", ""coordinates"": [2.282547164768328, 48.83909706446831]}";939.0;DVD;15/115;;165 Rue de Lourmel;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;165 Rue de Lourmel;115.0;14.0;5814;165;;RUE;LOURMEL;5814-165;;15.0;60.0;1
48.855961732, 2.28316548564;"{""type"": ""Point"", ""coordinates"": [2.28316548564358, 48.85596173197486]}";991.0;DEVE;;Parc de Passy;32 avenue du Président Kennedy;75.0;75016;Modèle spécifique;2.0;Non;Non;Non;Non;Oui;Oui;;32 avenue du President Kennedy;116.0;7.0;7801;32;;AV;PRESIDENT KENNEDY;7801-32;;16.0;62.0;1
48.8769926889, 2.28585852139;"{""type"": ""Point"", ""coordinates"": [2.285858521389685, 48.876992688939445]}";1107.0;DVD;17/107;;64 Avenue de la Grande Armée;75.0;75017;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;64 Avenue de la Grande Armee;117.0;14.0;4271;64;;AV;GRANDE ARMEE;4271-64;;17.0;65.0;1
48.8617568946, 2.28905515644;"{""type"": ""Point"", ""coordinates"": [2.289055156440575, 48.861756894622175]}";990.0;DEVE;;Jardins du Trocadéro;11 place du Trocadéro;75.0;75016;Modèle spécifique;4.0;Non;Non;Non;;Oui;Oui;;11 pl du Trocadero;116.0;7.0;9452;11;;PL;TROCADERO ET DU ONZE NOVEMBRE;9452-11;;16.0;64.0;1
48.8614453488, 2.28954325861;"{""type"": ""Point"", ""coordinates"": [2.289543258612865, 48.86144534881879]}";1006.0;DPA;66;Fontaine de Varsovie;Place de Varsovie;75.0;75016;Fontaine ornementale;1.0;Non;Oui;Oui;Non;;Oui;accessible;pl de Varsovie;116.0;12.0;9604;1;;PL;VARSOVIE;9604-1;numnr;16.0;62.0;0
48.8360963757, 2.29065917348;"{""type"": ""Point"", ""coordinates"": [2.29065917348094, 48.83609637567241]}";824.0;DEVE;;Square du Clos Feuquières;30 rue Desnouettes;75.0;75015;Applique;2.0;Non;Non;Non;Non;Oui;Oui;;30 rue Desnouettes;115.0;2.0;2745;30;;RUE;DESNOUETTES;2745-30;;15.0;57.0;1
48.8491242275, 2.30374580404;"{""type"": ""Point"", ""coordinates"": [2.303745804040161, 48.849124227529124]}";959.0;DVD;15/140;;Avenue de Suffren;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;av de Suffren;115.0;14.0;9114;1;;AV;SUFFREN;9114-1;numnr;7.0;28.0;1
48.830925552, 2.2929839948;"{""type"": ""Point"", ""coordinates"": [2.292983994804049, 48.83092555198153]}";923.0;DDEEES;;Marché Lefèvbre;63 boulevard Lefevbre;75.0;75015;Borne marché;1.0;Non;Non;;;;;;63 bd Lefevbre;115.0;13.0;5469;63;;BD;LEFEBVRE;5469-63;;15.0;57.0;0
48.8876102796, 2.29304692972;"{""type"": ""Point"", ""coordinates"": [2.293046929719682, 48.88761027961841]}";1078.0;DEVE;140;;2 avenue Stéphane Mallarmé;75.0;75017;Fontaine ornementale;1.0;;;;;;;;2 avenue Stephane Mallarme;117.0;12.0;9088;2;;AV;STEPHANE MALLARME;9088-2;;17.0;65.0;0
48.8499573122, 2.2943860511;"{""type"": ""Point"", ""coordinates"": [2.294386051098237, 48.84995731218563]}";1026.0;DDEEES;;Marché Grenelle;86 boulevard de Grenelle;75.0;75016;Borne marché;1.0;Non;Non;;;;;;86 boulevard de Grenelle;116.0;13.0;4310;86;;BD;GRENELLE;4310-86;;15.0;59.0;0
48.8858527732, 2.29351887247;"{""type"": ""Point"", ""coordinates"": [2.293518872466313, 48.88585277315042]}";1047.0;DEVE;;Square Jerôme Bellat;170 boulevard Berthier;75.0;75017;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;170 boulevard Berthier;117.0;4.0;0913;170;;BD;BERTHIER;0913-170;;17.0;66.0;1
48.8875678801, 2.29420204831;"{""type"": ""Point"", ""coordinates"": [2.294202048311943, 48.88756788005335]}";1097.0;DVD;17/177;;1 Avenue Stéphane Mallarmé;75.0;75017;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;1 Avenue Stephane Mallarme;117.0;14.0;9088;1;;AV;STEPHANE MALLARME;9088-1;;17.0;66.0;1
48.8679418038, 2.29440906361;"{""type"": ""Point"", ""coordinates"": [2.294409063606216, 48.86794180378279]}";985.0;DEVE;;Square Thomas-Jefferson;Place des Etats-Unis;75.0;75016;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;pl des Etats Unis;116.0;4.0;3381;1;;PL;ETATS UNIS;3381-1;numnr;16.0;64.0;1
48.8494629997, 2.29595186059;"{""type"": ""Point"", ""coordinates"": [2.295951860593506, 48.84946299965225]}";1088.0;DDEEES;;Marché Grenelle;106/108 boulevard de Grenelle;75.0;75015;Borne marché;1.0;Non;Non;;;;;;106 bd de Grenelle;115.0;13.0;4310;106;;BD;GRENELLE;4310-106;;15.0;59.0;0
48.8375794557, 2.29638061624;"{""type"": ""Point"", ""coordinates"": [2.296380616242178, 48.83757945565216]}";839.0;EDP;20;;31 rue Alain Chartier;75.0;75015;Borne-fontaine;1.0;Non;;Oui;Non;;;;31 rue Alain Chartier;115.0;4.0;0108;31;;RUE;ALAIN CHARTIER;0108-31;;15.0;57.0;1
48.8653189324, 2.29717298162;"{""type"": ""Point"", ""coordinates"": [2.297172981620134, 48.865318932445305]}";1001.0;DEVE;136;;10 avenue Pierre 1er de Serbie;75.0;75016;Fontaine ornementale;1.0;;;;;;;;10 av Pierre ier de Serbie;116.0;12.0;7471;10;;AV;PIERRE IER DE SERBIE;7471-10;;16.0;64.0;0
48.8424866181, 2.29617118149;"{""type"": ""Point"", ""coordinates"": [2.296171181491452, 48.84248661806782]}";857.0;DEVE;;Square Saint-Lambert;2 rue Jean Formigé;75.0;75015;Modèle spécifique;2.0;Non;Non;Non;Non;Oui;Oui;;2 rue Jean Formige;115.0;7.0;4889;2;;RUE;JEAN FORMIGE;4889-2;;15.0;57.0;1
48.839992431, 2.29791617178;"{""type"": ""Point"", ""coordinates"": [2.297916171781295, 48.8399924310283]}";827.0;DEVE;;Square Gerbert;113 rue Blomet;75.0;75015;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;113 rue Blomet;115.0;4.0;1019;113;;RUE;BLOMET;1019-113;;15.0;57.0;1
48.8652240497, 2.29909523769;"{""type"": ""Point"", ""coordinates"": [2.299095237694491, 48.865224049743375]}";1011.0;DDEEES;;Marché Président Wilson;10 avenue du Président Wilson;75.0;75016;Borne marché;1.0;Non;Non;;;;;;10 avenue du President Wilson;116.0;13.0;7804;10;;AV;PRESIDENT WILSON;7804-10;;16.0;64.0;0
48.8688377961, 2.30122987911;"{""type"": ""Point"", ""coordinates"": [2.30122987910979, 48.86883779607541]}";312.0;DVD;8/107;;32 Avenue George V;75.0;75008;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;32 Avenue George V;108.0;14.0;4110;32;;AV;GEORGE V;4110-32;;8.0;29.0;1
48.8583859419, 2.30238687167;"{""type"": ""Point"", ""coordinates"": [2.302386871668241, 48.85838594192903]}";233.0;DPA;47;Fontaine du Gros Caillou;133 rue Saint Dominique;75.0;75007;Modèle spécifique;1.0;Non;Oui;Oui;Non;;;;133 rue Saint Dominique;107.0;7.0;8529;133;;RUE;SAINT DOMINIQUE;8529-133;;7.0;28.0;1
48.8396574284, 2.30204942705;"{""type"": ""Point"", ""coordinates"": [2.302049427045255, 48.839657428350705]}";945.0;DVD;15/118;;277 Rue de Vaugirard;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;277 Rue de Vaugirard;115.0;14.0;9624;277;;RUE;VAUGIRARD;9624-277;;15.0;57.0;1
48.8481619686, 2.30239058998;"{""type"": ""Point"", ""coordinates"": [2.302390589981714, 48.84816196855833]}";837.0;DEVE;;Square Garibaldi;3 boulevard Garibaldi;75.0;75015;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;3 boulevard Garibaldi;115.0;4.0;3957;3;;BD;GARIBALDI;3957-3;;15.0;58.0;1
48.8748318427, 2.30326505922;"{""type"": ""Point"", ""coordinates"": [2.303265059223284, 48.8748318426883]}";310.0;DVD;8/101;;12 Avenue Friedland;75.0;75008;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;12 Avenue Friedland;108.0;14.0;3868;12;;AV;FRIEDLAND;3868-12;;8.0;30.0;1
48.8552892275, 2.29914127415;"{""type"": ""Point"", ""coordinates"": [2.299141274150338, 48.85528922748772]}";241.0;DEVE;;Champ-de-Mars;Place Joffre;75.0;75007;Modèle spécifique;15.0;Non;Non;Non;Non;Oui;Oui;;pl Joffre;107.0;7.0;4985;1;;PL;JOFFRE;4985-1;numnr;7.0;27.0;1
48.8269875152, 2.30836385615;"{""type"": ""Point"", ""coordinates"": [2.308363856147642, 48.82698751516193]}";776.0;DDEEES;;Marché Brune;33 boulevard Brune;75.0;75014;Borne marché;1.0;Non;Non;;;;;;33 boulevard Brune;114.0;13.0;1333;33;;BD;BRUNE;1333-33;;14.0;56.0;0
48.8358238623, 2.30834667816;"{""type"": ""Point"", ""coordinates"": [2.308346678162983, 48.83582386229294]}";860.0;DEVE;;Square Alleray St Amand;94 rue d'Alleray;75.0;75015;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;94 rue d Alleray;115.0;7.0;0212;94;;RUE;ALLERAY;0212-94;;15.0;57.0;1
48.8491584523, 2.3091083931;"{""type"": ""Point"", ""coordinates"": [2.309108393102891, 48.84915845230998]}";259.0;DDEEES;;Marché Saxe-Breteuil;17 avenue de Saxe;75.0;75007;Borne marché;1.0;Non;Non;;;;;;17 avenue de Saxe;107.0;13.0;8866;17;;AV;SAXE;8866-17;;7.0;27.0;0
48.8792172255, 2.30899179043;"{""type"": ""Point"", ""coordinates"": [2.308991790433939, 48.87921722554274]}";278.0;DEVE;;Parc Monceau;1 place de la République Dominicaine;75.0;75008;Borne-fontaine;17.0;Non;Non;Non;Non;Oui;Oui;;1 place de la Republique Dominicaine;108.0;4.0;8160;1;;PL;REPUBLIQUE DOMINICAINE;8160-1;;8.0;32.0;1
48.8266905837, 2.30970619364;"{""type"": ""Point"", ""coordinates"": [2.30970619363571, 48.82669058367147]}";780.0;DDEEES;;Marché Brune;49 boulevard Brune;75.0;75014;Borne marché;1.0;Non;Non;;;;;;49 boulevard Brune;114.0;13.0;1333;49;;BD;BRUNE;1333-49;;14.0;56.0;0
48.8372827416, 2.30950213962;"{""type"": ""Point"", ""coordinates"": [2.309502139618632, 48.83728274157763]}";921.0;DDEEES;;Marché Cervantès;58 rue Bargue;75.0;75015;Borne marché;1.0;Non;Non;;;;;;58 rue Bargue;115.0;13.0;0674;58;;RUE;BARGUE;0674-58;;15.0;58.0;0
48.8482062454, 2.30977661272;"{""type"": ""Point"", ""coordinates"": [2.309776612717136, 48.8482062454143]}";266.0;DDEEES;;Marché Saxe-Breteuil;44 avenue de Saxe;75.0;75007;Borne marché;1.0;Non;Non;;;;;;44 avenue de Saxe;107.0;13.0;8866;44;;AV;SAXE;8866-44;;7.0;27.0;0
48.8485284422, 2.31009119318;"{""type"": ""Point"", ""coordinates"": [2.310091193175308, 48.84852844223243]}";262.0;DDEEES;;Marché Saxe-Breteuil;31 avenue de Saxe;75.0;75007;Borne marché;1.0;Non;Non;;;;;;31 avenue de Saxe;107.0;13.0;8866;31;;AV;SAXE;8866-31;;7.0;27.0;0
48.8576181928, 2.31101693156;"{""type"": ""Point"", ""coordinates"": [2.311016931559177, 48.857618192817306]}";242.0;DEVE;;Square Santiago du Chili;Place Salvador Allende;75.0;75007;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;pl Salvador Allende;107.0;7.0;8799;1;;PL;SALVADOR ALLENDE;8799-1;numnr;7.0;26.0;1
48.8629189466, 2.30900871345;"{""type"": ""Point"", ""coordinates"": [2.309008713453349, 48.8629189465906]}";246.0;EDP;7;;41 quai d'Orsay;75.0;75007;Totem;1.0;Non;Non;Oui;Non;;;;41 quai d Orsay;107.0;10.0;6952;41;;QU;ORSAY;6952-41;;7.0;26.0;1
48.8623577177, 2.31071843073;"{""type"": ""Point"", ""coordinates"": [2.310718430733634, 48.862357717654916]}";271.0;DVD;7/105;;41 Quai d'Orsay;75.0;75007;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;41 Quai d Orsay;107.0;14.0;6952;41;;QU;ORSAY;6952-41;;7.0;26.0;1
48.8263149461, 2.31140335394;"{""type"": ""Point"", ""coordinates"": [2.311403353938438, 48.82631494613468]}";786.0;DDEEES;;Marché Brune;67-69 boulevard Brune;75.0;75014;Borne marché;1.0;Non;Non;;;;;;67 bd Brune;114.0;13.0;1333;67;;BD;BRUNE;1333-67;;14.0;56.0;0
48.832560831, 2.31150886065;"{""type"": ""Point"", ""coordinates"": [2.311508860654115, 48.83256083096804]}";798.0;DVD;14/157;;147 Rue Vercingétorix;75.0;75014;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;147 Rue Vercingetorix;114.0;14.0;9661;147;;RUE;VERCINGETORIX;9661-147;;14.0;56.0;1
48.8670468672, 2.31351846921;"{""type"": ""Point"", ""coordinates"": [2.313518469213077, 48.86704686718363]}";300.0;DEVE;42;Bassin Simon Bolivar;Avenue Winston Churchill;75.0;75008;Fontaine ornementale;1.0;;;;;;;;av Winston Churchill;108.0;12.0;9967;1;;AV;WINSTON CHURCHILL;9967-1;numnr;8.0;29.0;0
48.8669676613, 2.31411888696;"{""type"": ""Point"", ""coordinates"": [2.314118886962566, 48.86696766133442]}";301.0;DEVE;43;Bassin Université;Avenue Winston Churchill;75.0;75008;Fontaine ornementale;1.0;;;;;;;;av Winston Churchill;108.0;12.0;9967;1;;AV;WINSTON CHURCHILL;9967-1;numnr;8.0;29.0;0
48.8503596767, 2.31365301993;"{""type"": ""Point"", ""coordinates"": [2.313653019931029, 48.85035967673217]}";239.0;DEVE;;Square Abbé Esquéré;Place du Président Mithouard;75.0;75007;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;pl du President Mithouard;107.0;7.0;7802;1;;PL;PRESIDENT MITHOUARD;7802-1;numnr;7.0;27.0;1
48.8691271981, 2.31211003734;"{""type"": ""Point"", ""coordinates"": [2.312110037338246, 48.86912719805107]}";276.0;DEVE;;Champs Elysées (jardins) Secteur Marigny.;1 avenue de Marigny;75.0;75008;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;1 avenue de Marigny;108.0;4.0;6088;1;;AV;MARIGNY;6088-1;;8.0;31.0;1
48.8575331224, 2.31452909002;"{""type"": ""Point"", ""coordinates"": [2.314529090024753, 48.857533122446625]}";234.0;DEVE;;Square d'Ajaccio;2 boulevard des Invalides;75.0;75007;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;2 boulevard des Invalides;107.0;7.0;4726;2;;BD;INVALIDES;4726-2;;7.0;26.0;1
48.8756013814, 2.31528301879;"{""type"": ""Point"", ""coordinates"": [2.315283018789354, 48.875601381414405]}";315.0;DVD;8/127;;4 Avenue de Messine;75.0;75008;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;4 Avenue de Messine;108.0;14.0;6296;4;;AV;MESSINE;6296-4;;8.0;32.0;1
48.8253643755, 2.3148242105;"{""type"": ""Point"", ""coordinates"": [2.314824210503506, 48.82536437546996]}";817.0;DVD;14/133;;78 Boulevard Brune;75.0;75014;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;78 Boulevard Brune;114.0;14.0;1333;78;;BD;BRUNE;1333-78;;14.0;56.0;1
48.8835976786, 2.31358260133;"{""type"": ""Point"", ""coordinates"": [2.313582601327933, 48.88359767856135]}";1071.0;EDP;76;;2 rue de Lévis;75.0;75017;Wallace;1.0;Non;;Oui;Non;;;;2 rue de Levis;117.0;11.0;5642;2;;RUE;LEVIS;5642-2;;17.0;67.0;1
48.8312897406, 2.31720684594;"{""type"": ""Point"", ""coordinates"": [2.317206845943726, 48.83128974058059]}";777.0;DDEEES;;Marché Villemain;39 avenue Villemain;75.0;75014;Borne marché;1.0;Non;Non;;;;;;39 avenue Villemain;114.0;13.0;9832;39;;AV;VILLEMAIN;9832-39;;14.0;56.0;0
48.8512632194, 2.32041688456;"{""type"": ""Point"", ""coordinates"": [2.320416884555148, 48.851263219359375]}";236.0;DEVE;;Jardin Catherine Labouré;31 rue de Babylone;75.0;75007;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;31 rue de Babylone;107.0;7.0;0618;31;;RUE;BABYLONE;0618-31;;7.0;25.0;1
48.8336757097, 2.32016345783;"{""type"": ""Point"", ""coordinates"": [2.320163457832434, 48.83367570969537]}";728.0;EDP;4;;Place de la Garenne;75.0;75014;An 2000;1.0;Non;Non;Oui;Non;;;;pl de la Garenne;114.0;1.0;3949;1;;PL;GARENNE;3949-1;numnr;14.0;56.0;1
48.8498237828, 2.32265303355;"{""type"": ""Point"", ""coordinates"": [2.322653033546978, 48.84982378283321]}";270.0;DVD;7/127;;40 Rue de Sèvres;75.0;75007;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;40 Rue de Sevres;107.0;14.0;8955;40;;RUE;SEVRES;8955-40;;7.0;25.0;1
48.8659984564, 2.32143989351;"{""type"": ""Point"", ""coordinates"": [2.321439893507441, 48.86599845639306]}";289.0;DPA;38;Fontaine des Fleuves;2 place de la concorde;75.0;75008;Fontaine ornementale;1.0;Non;Oui;Oui;Non;;Oui;;2 place de la concorde;108.0;12.0;2259;2;;PL;CONCORDE;2259-2;;8.0;31.0;0
48.8959553451, 2.32418416184;"{""type"": ""Point"", ""coordinates"": [2.324184161838514, 48.8959553450699]}";1091.0;DDEEES;;Marché Navier;47 rue Navier;75.0;75017;Borne marché;1.0;Non;Non;;;;;;47 rue Navier;117.0;13.0;6704;47;;RUE;NAVIER;6704-47;;17.0;68.0;0
48.8938852785, 2.32465976853;"{""type"": ""Point"", ""coordinates"": [2.324659768531631, 48.89388527848116]}";1060.0;DEVE;;Square de la Villa Sainte-Croix;10 Villa Sainte-Croix;75.0;75017;Modèle spécifique;1.0;Non;Non;Non;Non;Oui;Oui;;10 Villa Sainte Croix;117.0;7.0;8518;10;;VLA;SAINTE CROIX;8518-10;;17.0;68.0;1
48.8833105428, 2.32610253435;"{""type"": ""Point"", ""coordinates"": [2.326102534350414, 48.88331054282185]}";1069.0;EDP;74;;12 boulevard des Batignolles;75.0;75017;Wallace;1.0;Non;;Oui;Non;;;;12 boulevard des Batignolles;117.0;11.0;0719;12;;BD;BATIGNOLLES;0719-12;;17.0;67.0;1
48.8836920608, 2.32691036034;"{""type"": ""Point"", ""coordinates"": [2.326910360339015, 48.88369206084355]}";1098.0;DVD;17/179;;12 Boulevard des Batignolles;75.0;75017;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;12 Boulevard des Batignolles;117.0;14.0;0719;12;;BD;BATIGNOLLES;0719-12;;17.0;67.0;1
48.8321650054, 2.32690055796;"{""type"": ""Point"", ""coordinates"": [2.326900557955353, 48.83216500537338]}";764.0;DEVE;104;;32 rue Brezin;75.0;75014;Fontaine ornementale;1.0;;;;;;;;32 rue Brezin;114.0;12.0;1288;32;;RUE;BREZIN;1288-32;;14.0;55.0;0
48.8256874149, 2.32644925697;"{""type"": ""Point"", ""coordinates"": [2.326449256973422, 48.82568741490491]}";794.0;DVD;14/108;;103 Avenue du Général Leclerc;75.0;75014;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;103 Avenue du General Leclerc;114.0;14.0;4063;103;;AV;GENERAL LECLERC;4063-103;;14.0;55.0;1
48.8721924053, 2.32620019738;"{""type"": ""Point"", ""coordinates"": [2.32620019738326, 48.87219240531797]}";314.0;DVD;8/102;;38 rue Vignon;75.0;75008;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;38 rue Vignon;108.0;14.0;9804;38;;RUE;VIGNON;9804-38;;9.0;34.0;1
48.84835475, 2.32772683745;"{""type"": ""Point"", ""coordinates"": [2.327726837449529, 48.84835475001101]}";220.0;DDEEES;;Marché Raspail;76 boulevard Raspail;75.0;75006;Borne marché;1.0;Non;Non;;;;;;76 boulevard Raspail;106.0;13.0;8045;76;;BD;RASPAIL;8045-76;;6.0;23.0;0
48.8227280934, 2.32751130802;"{""type"": ""Point"", ""coordinates"": [2.327511308023517, 48.82272809335097]}";769.0;DDEEES;;Marché Jourdan;111 Boulevard Jourdan;75.0;75014;Borne marché;1.0;Non;Non;;;;;;111 Boulevard Jourdan;114.0;13.0;5037;111;;BD;JOURDAN;5037-111;;14.0;55.0;0
48.8487790999, 2.32762720249;"{""type"": ""Point"", ""coordinates"": [2.327627202485697, 48.848779099944736]}";221.0;DDEEES;;Marché Raspail;77 boulevard Raspail;75.0;75006;Borne marché;1.0;Non;Non;;;;;;77 boulevard Raspail;106.0;13.0;8045;77;;BD;RASPAIL;8045-77;;6.0;23.0;0
48.8527784826, 2.32799342081;"{""type"": ""Point"", ""coordinates"": [2.327993420812283, 48.852778482613225]}";257.0;DEVE;33;Fontaine et bassins;7 rue Récamier;75.0;75007;Fontaine ornementale;1.0;;;;;;;;7 rue Recamier;107.0;12.0;8079;7;;RUE;RECAMIER;8079-7;;7.0;25.0;0
48.8625130139, 2.31999836116;"{""type"": ""Point"", ""coordinates"": [2.319998361155263, 48.86251301394651]}";230.0;EDP;5;;Quai Anatole France;75.0;75007;Fontaine pétillante;1.0;Non;Non;Oui;Non;;;;qu Anatole France;107.0;6.0;0307;1;;QU;ANATOLE FRANCE;0307-1;numnr;7.0;25.0;1
48.8842308982, 2.32855517259;"{""type"": ""Point"", ""coordinates"": [2.328555172590523, 48.884230898202986]}";1187.0;DVD;18/156;;128 ter Boulevard de Clichy;75.0;75018;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;128 ter Boulevard de Clichy;118.0;14.0;2113;128;T;BD;CLICHY;2113-128T;;18.0;69.0;1
48.8222568417, 2.32964900664;"{""type"": ""Point"", ""coordinates"": [2.329649006637767, 48.82225684173681]}";789.0;DDEEES;;Marché Jourdan;95 Boulevard Jourdan;75.0;75014;Borne marché;1.0;Non;Non;;;;;;95 Boulevard Jourdan;114.0;13.0;5037;95;;BD;JOURDAN;5037-95;;14.0;55.0;0
48.8845074033, 2.33034119387;"{""type"": ""Point"", ""coordinates"": [2.330341193871365, 48.884507403276366]}";1185.0;DVD;18/104;;118 Boulevard de Clichy;75.0;75018;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;118 Boulevard de Clichy;118.0;14.0;2113;118;;BD;CLICHY;2113-118;;18.0;69.0;1
